rhea_id	PC1	PC2	cluster	class
10277	-1.1649608218650358	-0.859541682829883	0	2
10278	-1.1649608218650358	-0.859541682829883	0	2
10281	-1.112916673344193	-0.7223418554123112	6	2
10282	-1.112916673344193	-0.7223418554123112	6	2
10285	-1.3043343837335086	-0.7657966002427528	4	5
10286	-1.3043343837335086	-0.7657966002427528	4	5
10289	-1.1488198793915267	-0.7069214640977564	4	3
10290	-1.1488198793915267	-0.7069214640977564	4	3
10293	-0.9535501273927087	-0.5895688559884162	3	2
10294	-0.9535501273927087	-0.5895688559884162	3	2
10297	6.905967001092252	0.11974277500789901	2	1
10298	6.905967001092252	0.11974277500789901	2	1
10301	6.905967001092252	0.11974277500789901	2	1
10302	6.905967001092252	0.11974277500789901	2	1
10305	-1.268866986115767	-0.2946089450562115	3	2
10306	-1.268866986115767	-0.2946089450562115	3	2
10313	6.407269017670376	0.15164786874328043	2	1
10314	6.407269017670376	0.15164786874328043	2	1
10317	-1.1070886744266197	-0.5880885036857008	4	1
10318	-1.1070886744266197	-0.5880885036857008	4	1
10321	-0.9532869401339199	-0.7522049446612046	4	4
10322	-0.9532869401339199	-0.7522049446612046	4	4
10325	6.929044270135412	0.06466232834588646	2	1
10326	6.929044270135412	0.06466232834588646	2	1
10329	6.929044270135412	0.06466232834588646	2	1
10330	6.929044270135412	0.06466232834588646	2	1
10333	-1.1673904324680604	-0.553321217127191	3	2
10334	-1.1673904324680604	-0.553321217127191	3	2
10337	-1.0392021247771346	-0.6770438620853283	4	4
10338	-1.0392021247771346	-0.6770438620853283	4	4
10341	-1.3192170838356934	-0.5926035991511208	4	4
10342	-1.3192170838356934	-0.5926035991511208	4	4
10345	-1.2600650536536264	-0.729974288983924	3	2
10346	-1.2600650536536264	-0.729974288983924	3	2
10349	-1.2269071656641355	-0.6044631166410246	0	3
10350	-1.2269071656641355	-0.6044631166410246	0	3
10353	-1.160525581160273	-0.4759999054145509	4	3
10354	-1.160525581160273	-0.4759999054145509	4	3
10357	6.982514131016275	0.06103502687661415	2	1
10358	6.982514131016275	0.06103502687661415	2	1
10361	-1.271895076389522	-0.6363201336803016	4	3
10362	-1.271895076389522	-0.6363201336803016	4	3
10365	-0.9858817117122666	-0.8247836484297031	3	2
10366	-0.9858817117122666	-0.8247836484297031	3	2
10369	-1.0669718241124753	-0.5361316108279097	4	2
10370	-1.0669718241124753	-0.5361316108279097	4	2
10373	6.209928878937681	0.07199510606157926	2	1
10374	6.209928878937681	0.07199510606157926	2	1
10377	-1.277020593465487	-0.9565996937469317	0	7
10378	-1.277020593465487	-0.9565996937469317	0	7
10381	-0.8964389113320759	-0.08263818319773142	4	2
10382	-0.8964389113320759	-0.08263818319773142	4	2
10385	-1.2479917229439268	-0.7892421817549657	4	Unknown
10386	-1.2479917229439268	-0.7892421817549657	4	Unknown
10389	-1.1524085396135957	-0.879521509783227	0	4
10390	-1.1524085396135957	-0.879521509783227	0	4
10393	6.578794504448845	0.022359581565980502	2	1
10394	6.578794504448845	0.022359581565980502	2	1
10397	6.8481917837141015	0.33036390082918526	2	1
10398	6.8481917837141015	0.33036390082918526	2	1
10401	-1.0237471112878562	-0.7209139026651346	4	2
10402	-1.0237471112878562	-0.7209139026651346	4	2
10409	-1.1489208444198433	-0.9293207504447574	3	2
10410	-1.1489208444198433	-0.9293207504447574	3	2
10413	-1.4824361554415655	-0.6382130923033508	0	3
10414	-1.4824361554415655	-0.6382130923033508	0	3
10417	-0.9289282040600758	-0.608906438796637	4	4
10418	-0.9289282040600758	-0.608906438796637	4	4
10421	-0.9673405077762968	-0.7369216799386603	4	2
10422	-0.9673405077762968	-0.7369216799386603	4	2
10425	-0.8700390486612068	-0.23815732625028113	4	3
10426	-0.8700390486612068	-0.23815732625028113	4	3
10429	-1.194099452987148	-0.5425158711863485	4	1
10430	-1.194099452987148	-0.5425158711863485	4	1
10433	-0.6897272823158307	-0.4594173150159182	4	3
10434	-0.6897272823158307	-0.4594173150159182	4	3
10437	-0.8658406156604604	-0.7739802273228759	4	4
10438	-0.8658406156604604	-0.7739802273228759	4	4
10441	-1.1323561526184014	-0.7216691880134757	4	3
10442	-1.1323561526184014	-0.7216691880134757	4	3
10445	-1.2169481773414867	-1.1447134646156334	6	2
10446	-1.2169481773414867	-1.1447134646156334	6	2
10449	-0.9153846148643053	-0.37693112591510747	4	1
10450	-0.9153846148643053	-0.37693112591510747	4	1
10453	-1.8150248369536595	8.179998899073425	1	Unknown
10454	-1.8150248369536595	8.179998899073425	1	Unknown
10457	-1.2719017671121473	-0.8903793172982646	3	2
10458	-1.2719017671121473	-0.8903793172982646	3	2
10461	-1.1990859189739977	-0.5879809550786517	4	5
10462	-1.1990859189739977	-0.5879809550786517	4	5
10465	-0.9697541317401001	-0.3661692764088933	4	3
10466	-0.9697541317401001	-0.3661692764088933	4	3
10469	-1.145998610197894	-0.5547685707797345	4	4
10470	-1.145998610197894	-0.5547685707797345	4	4
10473	-0.9605370753983858	-0.8759901735352704	4	4
10474	-0.9605370753983858	-0.8759901735352704	4	4
10481	-1.283491551026083	-0.6059181782417291	4	Unknown
10482	-1.283491551026083	-0.6059181782417291	4	Unknown
10485	-0.9698633110608448	0.004638878332869343	4	3
10486	-0.9698633110608448	0.004638878332869343	4	3
10489	-1.1540534380006617	-0.5733894205443131	0	6
10490	-1.1540534380006617	-0.5733894205443131	0	6
10493	-1.4111795785482146	-0.7032953076233287	4	3
